Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2003-11-28,1.3004,1.3067,1.3089,1.2931,0.0,-0.4821305578939339,1.221869924986474,60.541580733377074,-0.5049732211170554,-0.022953328232588888,46.20253164557005,NaN,CAD
2003-12-01,1.3042,1.2978,1.3044,1.2967,0.0,0.49314224071506096,0.5938150690213639,16.953565774647096,0.29221777914487657,-0.19993848046754303,97.4025974025977,NaN,CAD
2003-12-02,1.2966,1.3039,1.3082,1.2958,0.0,-0.5598588848838126,0.9569377990430672,41.49474652964188,-0.5827327097071011,-0.0230026069621192,6.451612903225113,NaN,CAD
2003-12-03,1.3001,1.2967,1.3016,1.2944,0.0,0.26220405645098754,0.5562422744128659,52.861537406923354,0.26993675767392755,0.007712478790677935,79.16666666666615,NaN,CAD
2003-12-04,1.3114,1.3001,1.3143,1.3001,0.0,0.8691639104684068,1.092223675101911,20.42253521126901,0.8691639104684068,0.0,79.5774647887315,NaN,CAD
2003-12-05,1.3029,1.311,1.3143,1.302,0.0,-0.6178489702517109,0.944700460829484,34.598426075793874,-0.6481622693304878,-0.030501753850842306,7.3170731707309145,NaN,CAD
2003-12-08,1.2969,1.3045,1.3051,1.2952,0.0,-0.5825986968187036,0.7643607164916633,23.77961291721382,-0.4605111673958051,0.12280297797222506,17.17171717171749,NaN,CAD
2003-12-09,1.3067,1.2972,1.3132,1.2961,0.0,0.7323465926611261,1.3193426433145472,44.49155445917579,0.7556480838923685,0.023132084200794267,61.98830409356731,NaN,CAD
2003-12-10,1.3093,1.3068,1.3127,1.3047,0.0,0.19130700948881696,0.6131677780332634,68.80021808999251,0.1989745159562295,0.007652865998308833,57.49999999999917,NaN,CAD
2003-12-11,1.3163,1.3091,1.3299,1.3079,0.0,0.5499961805820908,1.6820857863750982,67.30272706439457,0.5346368288398518,-0.01527533796684688,38.18181818181798,NaN,CAD
2003-12-12,1.3135,1.316,1.3202,1.3095,0.0,-0.18996960486323822,0.8171057655593783,76.75091611510196,-0.2127174656233466,-0.022791157031065712,37.383177570091654,NaN,CAD
2003-12-15,1.3135,1.3235,1.3235,1.31,0.0,-0.7555723460521357,1.0305343511450182,26.681498271976523,0.0,0.7613247049866878,25.92592592592501,NaN,CAD
2003-12-16,1.3263,1.3132,1.329,1.3116,0.0,0.9975632043862426,1.3266239707227623,24.804373627987676,0.9744956223829648,-0.022839741149593973,84.48275862068996,NaN,CAD
